psgg_code,region
18,NIR (Negros Island Region)
13,NCR (National Capital Region)
14,CAR (Cordillera Administrative Region)
01,Region I (Ilocos Region)
02,Region II (Cagayan Valley)
03,Region III (Central Luzon)
04,Region IV-A (CALABARZON)
17,Region IV-B (MIMAROPA)
05,Region V (Bicol Region)
06,Region VI (Western Visayas)
07,Region VII (Central Visayas)
08,Region VIII (Eastern Visayas)
09,Region IX (Zamboanga Peninsula)
10,Region X (Northern Mindanao)
11,Region XI (Davao Region)
12,Region XII (Soccsksargen)
16,Region XIII (Caraga)
15,ARMM (Autonomous Region in Muslim Mindanao)
